Organisation;Secteur;Departement;Region;Taille (salaries);Annee dernier bilan;Historique bilans;Nb bilans publies;Scope 1 tCO2e;Scope 2 tCO2e;Scope 3 tCO2e;Total emissions tCO2e;Plan transition;Score priorite;Signal legal;Interlocuteur cible;Angle commercial;SIREN;Code NAF
SNEF Telecom;Travaux d'installation électrique dans tous locaux;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Entre 500 et 999;2020;[2020];1;5121574.0;53303.0;0.0;5174877.0;Non;1;Bilan 2020 — prochaine échéance théorique échue (cycle 4 ans). Scope 3 non renseigné (5,17 MtCO2e déclarés S1+S2). Écart probable avec les nouvelles attentes de reporting.;Directeur Regional / Directeur QSE;Reprendre la démarche climat : sécuriser la mise à jour réglementaire, intégrer le scope 3 manquant et structurer une première trajectoire de décarbonation avec ekodev.;879916799.0;4321A
SALOMON SAS;Fabrication d'articles de sport;Haute-Savoie;Auvergne-Rhône-Alpes;Entre 500 et 999;2022;[2022];1;2096.0;3197.0;2391828.0;2397121.0;Oui;1;Bilan 2022 — renouvellement à programmer pour 2026 (cycle 4 ans).;Directeur de Site / Directeur QSE-HSE;Accompagner la mise à jour du bilan 2022 en 2026. Opportunité d'approfondir le plan de transition existant et de consolider la stratégie climat globale.;325820751.0;3230Z
VICAT;Fabrication de ciment;Isère;Auvergne-Rhône-Alpes;Entre 500 et 999;2022;[2022];1;2045201.0;14631.0;255288.0;2315120.0;Non;1;Bilan 2022 — renouvellement à programmer pour 2026. Aucun plan de transition formel identifié sur la base publique.;Directeur de Site / Directeur QSE-HSE;Cadrer la mise à jour 2026. Forte valeur ajoutée ekodev possible sur la création de la feuille de route climat (actuellement manquante en données publiques).;57505539.0;2351Z
AUTOROUTE ESTEREL COTE AZUR PROVENCE ALP;Services auxiliaires des transports terrestres;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Entre 500 et 999;2022;[2015, 2019, 2022];3;2917.0;1029.0;2186197.0;2190144.0;Oui;1;Bilan 2022 — renouvellement à programmer pour 2026. Historique robuste (3 bilans).;Directeur Operations / Responsable RSE;Capitaliser sur leur maturité pour la mise à jour 2026 : proposer de passer d'une logique de simple "comptabilité" à une véritable stratégie bas-carbone intégrée.;562041525.0;5221Z
Pfeiffer Vacuum SAS;Fabrication d'autres pompes et compresseurs;Haute-Savoie;Auvergne-Rhône-Alpes;Entre 500 et 999;2022;[2018, 2022];2;454.0;858.0;1438297.0;1439609.0;Oui;1;Bilan 2022 — renouvellement à programmer pour 2026. Historique suivi (2 bilans).;Directeur de Site / Directeur QSE-HSE;Sécuriser la mise à jour 2026 et challenger l'approche actuelle sur le plan d'action de réduction (scope 3 majeur à piloter).;85980357.0;2813Z
Pôle Pétrochimique de Berre;Fabrication de matières plastiques de base;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Entre 500 et 999;2021;[2016, 2021];2;1149166.0;23699.0;0.0;1172865.0;Oui;1;Bilan 2021 — prochaine échéance théorique en 2025. Scope 3 non renseigné (1,17 MtCO2e déclarés S1+S2). Sujet de structuration prioritaire.;Directeur de Site / Directeur QSE-HSE;Proposer une mise à jour du dernier bilan en intégrant un travail de fond sur le scope 3 et la trajectoire de décarbonation (site très émissif, fort besoin de conseil).;394400121.0;2016Z
GERFLOR;Fabrication d'éléments en matières plastiques pour la construction;Rhône;Auvergne-Rhône-Alpes;Entre 2 000 et 4 999;2022;[2019, 2021, 2022];3;48057.0;43185.0;910926.0;1002168.0;Oui;1;Bilan 2022 — renouvellement à programmer pour 2026. Entreprise très régulière dans ses reportings (3 bilans).;Directeur de Site / Directeur QSE-HSE;Assurer la continuité en 2026. Opportunité d'upsell sur des missions d'optimisation énergétique ou de stratégie RSE plus large.;726580152.0;2223Z
KEM ONE;Fabrication de matières plastiques de base;Rhône;Auvergne-Rhône-Alpes;Entre 1 000 et 1 999;2018;[2018];1;357900.0;189244.0;0.0;547144.0;Oui;1;Bilan 2018 — retard potentiel de mise à jour (cycles de 4 ans). Scope 3 non renseigné (547 ktCO2e déclarés S1+S2).;Directeur de Site / Directeur QSE-HSE;Positionner ekodev pour reprendre et remettre à niveau une démarche BEGES vieillissante. L'absence de scope 3 ouvre un très beau chantier d'accompagnement.;538695040.0;2016Z
COMPAGNIE DU PONANT;Transports maritimes et côtiers de passagers;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Entre 500 et 999;2022;[2022];1;197997.0;89.0;196619.0;394705.0;Oui;1;Bilan 2022 — renouvellement à programmer pour 2026.;Directeur Operations / Responsable RSE;Renouvellement 2026. L'image marque luxe/RSE est stratégique : l'approche sur-mesure d'ekodev correspond parfaitement aux attentes d'excellence de ce type d'acteur.;344497011.0;5010Z
LABORATOIRES M&L;Fabrication de parfums et de produits pour la toilette;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;Entre 1 000 et 1 999;2022;[2014, 2022];2;1624.0;54.0;285647.0;287325.0;Non;1;Bilan 2022 — renouvellement à programmer pour 2026. Aucun plan de transition formel identifié publiquement.;Directeur de Site / Directeur QSE-HSE;Cadrer la mise à jour 2026 en proposant de structurer le plan de transition. Industrie cosmétique très exposée aux attentes des donneurs d'ordres sur le scope 3.;305823296.0;2042Z
